country,Region,Surface area,Population,"Population density","Sex ratio",GDP,"GDP growth rate",Economy,Agricultural,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"current accoun",Population growth rate,Urban population,Urban population growth rate,age distribution
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.8,3.7,97,97,77565,75156,2409,193,0.1,53.6,-0.3,15.4/21.8
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.3,2.4,89,89,27585,26646,939,2216,0.3,49.7,0.1,15.0/26.3
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,3.2,28.2,118,118,437,454,-17,-36,2.1,22.3,4.2,38.8/5.4
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,60.2,112,112,925,530,394,-99,2.9,39.6,4.1,46.4/4.4
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,2.4,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,29.0/8.4
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2,4.6,-99,-99,2389,750,1640,-935,3.3,18.8,5.1,41.7/5.1
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,3.2,2.6,102,102,281777,302539,-20762,16208,-0.2,79.6,0.7,14.7/25.3
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,4.8,8.7,120,122,10546,19501,-8955,-2009,0.5,18.4,0.8,24.0/14.9
State of Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,4.8,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,39.6/4.6
Sudan,NorthernAfrica,-99,40533,23,99.9,79546,4.9,32.4,-99,-99,1797,7658,-5861,-5933,2.3,33.8,2.5,40.8/5.5
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,-2.7,11.4,152,152,1437,1244,193,-808,1,66,0.8,26.4/10.4
Swaziland,SouthernAfrica,17363,1367,79.5,93.9,4133,1.7,6.6,114,115,1881,733,1149,281,1.8,21.3,1.3,37.2/4.8
Sweden,NorthernEurope,438574,9911,24.2,100.2,495694,4.1,1.3,100,100,139574,140838,-1263,23250,0.8,85.8,0.8,17.5/25.5
Switzerland,WesternEurope,41291,8476,214.5,98.2,670790,0.8,0.7,106,106,304691,269157,35534,77378,1.2,73.9,1.1,14.9/24.1
Syrian Arab Republic,WesternAsia,185180,18270,99.5,102.1,28393,-5.3,20.7,65,68,1265,2383,-1118,...,-2.3,57.7,1.4,36.6/6.8
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,25,155,172,899,3030,-2132,-472,2.2,26.8,2.6,35.3/5.8
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,9.1,129,126,213927,195666,18260,32149,0.4,50.4,3,17.3/16.9
The former Yugoslav Republic of Macedonia,SouthernEurope,25713,2083,82.6,100,10052,3.8,12,111,112,4785,6757,-1972,-204,0.1,57.1,0.1,16.7/19.5
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,4.3,5.2,111,117,94,647,-553,238,2.2,32.8,3.8,43.6/5.4
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,45.7,140,143,715,1716,-1001,-461,2.6,40,3.8,41.6/4.6
Tokelau,Polynesia,12,1,130,100,-99,-99,-99,112,112,~0,1,-1,-99,1.9,0,0,28.3/12.2
Tonga,Polynesia,747,108,150,100.7,402,3.8,22.4,134,134,14,209,-196,-33,0.4,23.7,0.7,35.8/8.5
Trinidad and Tobago,Caribbean,5127,1369,266.9,97.1,25927,0.2,0.5,95,95,4576,4826,-249,...,0.5,8.4,-1.2,20.7/15.0
Tunisia,NorthernAfrica,163610,11532,74.2,97.6,41199,0.8,10.3,108,108,13483,19456,-5973,-3850,1.2,66.8,1.4,24.0/12.3
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,8.6,120,122,142606,198602,-55996,-32278,1.6,73.4,2,25.0/12.0
Turkmenistan,CentralAsia,488100,5758,12.3,97,37597,6.5,13.4,103,109,3741,2616,1125,-99,1.8,50,1.9,30.9/7.3
Turks and Caicos Islands,Caribbean,948,35,37.3,104.1,863,4.1,0.6,-99,-99,4,389,-385,-99,2,92.2,2.5,19.2/7.6
Tuvalu,Polynesia,26,11,373.1,102,33,3.5,26,110,110,~0,12,-12,7,0.9,59.7,1.9,31.1/9.9
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,25.6,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,47.7/3.3
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,14,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,15.5/23.2
United Arab Emirates,WesternAsia,83600,9400,112.4,262.4,370296,3.8,0.7,70,70,195613,201908,-6296,-99,2,85.5,2.9,13.9/2.4
United Kingdom,NorthernEurope,242495,66182,273.6,97.4,2858003,2.2,0.7,108,108,415856,635570,-219713,-122571,0.6,82.6,0.9,17.7/23.9
United Republic of Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7,31.1,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,44.9/4.7
United States of America,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,1,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,18.9/21.5
United States Virgin Islands,Caribbean,347,105,299.7,91.1,-99,-99,-99,109,109,-99,-99,-99,-99,-0.2,95.3,0.3,20.1/25.3
Uruguay,SouthAmerica,173626,3457,19.8,93.5,53442,1,6.8,129,130,6964,8137,-1173,-1141,0.3,95.3,0.5,21.1/19.5
Uzbekistan,CentralAsia,448969,31911,75,99.4,69004,6.8,19.2,158,174,27947,25652,2295,-99,1.6,36.4,1.4,28.0/7.6
Vanuatu,Melanesia,12189,276,22.7,102.4,737,-1,26.7,123,122,50,416,-366,-82,2.3,26.1,3.4,35.9/6.7
Venezuela (Bolivarian Republic of),SouthAmerica,912050,31977,36.3,99,344331,-6.2,5.3,118,119,19731,16324,3407,-20360,1.4,89,1.5,27.6/9.9
Viet Nam,South-easternAsia,330967,95541,308.1,98,193241,6.7,18.9,136,134,176632,174111,2520,906,1.1,33.6,3,23.1/11.1
Wallis and Futuna Islands,Polynesia,142,12,84.1,93.4,-99,-99,-99,115,115,1,53,-51,-99,-2.1,0,0,25.5/15.4
Western Sahara,NorthernAfrica,266000,553,2.1,110.1,-99,-99,-99,100,100,-99,-99,-99,-99,1.8,80.9,3.3,28.1/5.4
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,14.7,136,137,570,6861,-6291,-3026,2.6,34.6,4,39.9/4.6
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,8.2,179,180,6505,7442,-937,-768,3,40.9,4.3,44.8/3.7
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,13,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,41.2/4.2
