country,Region,Surface area,Population,"Population density","Sex ratio",GDP,"GDP growth rate",Economy,Agricultural,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"current accoun",Population growth rate,Urban population,Urban population growth rate,age distribution
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,3.9,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,20.3/16.0
"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,85.1,309236,2.4,0.1,34,34,516588,547124,-30536,10101,0.6,100,0.7,11.5/23.5
"China, Macao SAR",EasternAsia,30,623,20821.6,92.3,46178,-20.3,-99,86,86,1257,8924,-7668,11557,2.3,100,1.8,13.3/16.1
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,9.2,132,133,2118981,1588696,530285,330602,0.5,55.6,3,17.7/16.2
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6.8,114,115,31045,44831,-13786,-18922,1,76.4,1.7,23.5/11.6
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,30.7,107,107,20,193,-173,...,2.4,28.3,2.7,39.8/4.9
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,4.7,106,106,2540,9793,-7253,...,2.6,65.4,3.2,42.3/5.2
Cook Islands,Polynesia,236,17,72.4,97.4,294,5.5,8.1,91,91,14,98,-84,-99,-1.2,74.5,0.9,26.9/14.2
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,5.1,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,21.6/13.6
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,4.1,91,91,13648,21830,-8182,2492,-0.4,59,0.1,14.7/26.8
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,5,100,101,18000,4911,13089,-99,0.2,77.1,0.1,16.0/20.1
Cyprus,WesternAsia,9251,1180,127.7,100.2,19561,1.7,2.3,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,16.8/18.5
Czechia,EasternEurope,78868,10618,137.5,96.7,185156,4.5,2.5,102,102,161248,140316,20932,1683,0.1,73,0.3,15.4/25.6
Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,95.7,16283,-1.1,21.6,104,103,1010,2757,-1748,-99,0.5,60.9,0.7,20.6/13.5
Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7,19.9,104,104,5103,5906,-803,-1546,3.3,42.5,4,46.3/4.7
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,1.2,105,105,94355,85133,9222,27582,0.5,87.7,0.6,16.5/25.3
Djibouti,EasternAfrica,23200,957,41.3,100.7,1737,6.5,3.3,133,133,134,987,-852,-548,1.7,77.3,1.6,31.1/6.4
Dominica,Caribbean,750,74,98.6,103,512,-1.8,15.4,110,111,23,214,-191,-72,0.5,69.5,0.8,.../...
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6.6,136,138,3747,22725,-18978,-1335,1.2,79,2.6,29.3/10.2
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,10.1,118,119,16798,16189,609,-2201,1.6,63.7,1.9,28.4/10.5
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,11.2,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,33.5/7.9
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,2.5,10.8,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,27.4/11.6
Equatorial Guinea,MiddleAfrica,28052,1268,45.2,124,13812,-7.4,1.2,117,118,7443,5456,1987,-99,4.2,39.9,3.1,37.2/4.4
Eritrea,EasternAfrica,117600,5069,50.2,100.4,4783,4.8,17.2,109,109,16,3325,-3310,-99,2,22.6,5.1,41.8/5.3
Estonia,NorthernEurope,45227,1310,30.9,88.2,22460,1.4,3.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,16.4/25.9
Ethiopia,EasternAfrica,1104300,104957,105,99.7,59917,9.6,40.5,158,157,1724,19121,-17397,...,2.6,19.5,4.9,40.6/5.3
Falkland Islands (Malvinas),SouthAmerica,12173,3,0.2,110.5,-99,-99,-99,96,105,4,17,-13,-99,0.3,76.2,1,16.4/15.7
Faroe Islands,NorthernEurope,1393,49,35.3,107.2,-99,-99,-99,102,102,1192,976,216,...,0.2,42,0.5,21.0/22.5
Fiji,Melanesia,18272,906,49.6,103.1,4391,3.6,11.3,88,88,926,2316,-1391,-72,0.7,53.7,1.5,28.5/9.9
Finland,NorthernEurope,338440,5523,18.2,97.2,231960,0.2,2.5,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,16.4/27.8
France,WesternEurope,551500,64980,118.7,96.7,2418946,1.3,1.7,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,18.1/25.7
French Guiana,SouthAmerica,83534,283,3.4,100,-99,-99,-99,120,120,-99,-99,-99,-99,2.8,84.4,2.8,33.2/8.4
French Polynesia,Polynesia,4000,283,77.3,103.7,5135,1.6,2.8,98,98,173,1491,-1319,208,0.7,55.9,0.9,23.3/11.9
Gabon,MiddleAfrica,267668,2025,7.9,105.6,13735,3.9,3.8,97,92,2851,2930,-79,...,3.3,87.2,2.7,35.9/6.4
Gambia,WesternAfrica,11295,2101,207.6,98,942,4.7,21.1,82,82,32,471,-439,...,3.1,59.6,4.3,45.3/3.8
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,9,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,19.2/20.8
Germany,WesternEurope,357376,82114,235.6,97,3363600,1.7,0.6,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,13.1/28.0
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,19,144,144,7221,11939,-4718,-2809,2.4,54,3.4,38.5/5.3
Gibraltar,SouthernEurope,6,35,3457.1,101.8,-99,-99,-99,-99,-99,234,533,-299,-99,0.6,100,0.1,18.1/22.4
Greece,SouthernEurope,131957,11160,86.6,96.9,194860,-0.2,4.1,86,87,27811,47595,-19784,218,-0.4,78,0.5,14.2/26.5
Greenland,NorthernAmerica,2166086,56,0.1,112.1,2078,0.3,10,99,99,553,623,-71,-99,-0.1,86.4,0.7,21.0/13.2
Grenada,Caribbean,345,108,317.1,100.9,954,6.2,8.3,103,103,30,350,-320,-213,0.4,35.6,0.3,26.3/10.5
Guadeloupe,Caribbean,1705,450,266,86.4,-99,-99,-99,100,100,-99,-99,-99,-99,-~0.0,98.4,0.5,18.6/23.6
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,88,88,-99,-99,-99,-99,0.3,94.5,1.4,24.7/14.0
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,10.8,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,35.1/6.9
Guinea-Bissau,WesternAfrica,36125,1861,66.2,96.9,978,4.8,45,137,138,885,212,673,-53,2.6,49.3,4.1,41.5/4.9
Guinea,WesternAfrica,245857,12717,51.8,100.6,8875,0.1,19.8,130,131,1753,2082,-329,-1240,2.3,37.2,3.8,42.3/5.2
Guyana,SouthAmerica,214969,778,4,101.9,3282,3.1,17.6,142,143,1453,1625,-172,-144,0.6,28.6,0.8,29.0/8.6
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,16.7,163,166,984,3316,-2332,-723,1.4,58.6,3.8,33.0/7.3
Holy See,SouthernEurope,~0,1,1800,219.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,~0.0,100,~0.0,-99
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,13,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,31.6/7.0
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,4.1,99,99,103071,92044,11027,3946,-0.3,71.2,0.5,14.3/26.0
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,6.4,117,117,4450,5703,-1254,854,0.6,94.1,1.3,20.1/20.1
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,17,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,27.8/9.4
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,14,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,27.4/8.6
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,8.6,106,107,45627,35333,10294,-99,1.2,73.4,2.1,23.7/8.8
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4.6,123,123,27341,45831,-18490,4121,3.2,69.5,3,40.4/5.0
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,1,102,102,129315,76997,52318,28967,0.3,63.2,1.6,21.6/19.1
Isle of Man,NorthernEurope,572,84,147.9,98.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.8,52.2,0.8,16.0/26.9
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,1.3,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,27.9/16.1
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,2.2,89,89,461529,404578,56951,29348,-0.1,69,0.4,13.5/29.4
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,7.1,102,102,1202,4767,-3565,-400,0.4,54.8,0.9,22.7/13.6
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,1.2,96,97,644932,606924,38008,135608,-0.1,93.5,0.6,12.9/33.4
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,35.5/5.7
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,5,126,127,36775,25175,11601,-5464,1.6,53.2,0.9,27.9/11.1
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,32,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,40.5/4.3
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,24.1,61,61,3,116,-113,45,1.8,44.3,1.8,35.0/6.4
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,0.6,199,199,46238,30825,15413,8584,5.4,98.3,3.6,21.1/4.9
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,15.4,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,31.8/7.6
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,23.6,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,32.9/6.3
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,3.2,130,130,11433,13596,-2163,-210,-1.2,67.4,-0.7,15.4/26.2
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,3.2,95,95,3402,20409,-17007,-8146,6,87.8,3.2,23.1/12.0
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,7.7,101,100,648,1727,-1079,-168,1.3,27.3,3,35.4/6.7
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,70.8,104,121,641,727,-86,-860,2.6,49.7,3.4,41.8/4.9
Libya,NorthernAfrica,1676198,6375,3.6,101.7,34457,-10.2,0.9,113,114,4615,8876,-4261,-108,0.2,78.6,1.1,28.2/6.6
Liechtenstein,WesternEurope,160,38,237,98.4,6361,1.4,0.7,102,102,-99,-99,-99,-99,0.8,14.3,0.5,14.9/22.7
Lithuania,NorthernEurope,65286,2890,46.1,85.4,41402,1.8,3.6,125,125,25025,27501,-2476,-977,-1.3,66.5,-0.5,14.8/25.3
Luxembourg,WesternEurope,2586,584,225.3,101,56802,3.5,0.2,98,98,12838,19124,-6285,2962,2.2,90.2,1.7,16.4/19.6
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,24.9,119,120,2256,2965,-709,-622,2.7,35.1,4.7,41.0/4.8
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,26.1,149,150,875,1649,-774,-710,2.9,16.3,3.8,44.0/4.3
Malaysia,South-easternAsia,330323,31624,96.3,106.7,296284,5,8.6,122,130,189414,168375,21039,8960,1.8,74.7,2.7,24.3/9.7
Maldives,SouthernAsia,300,436,1454.4,131.8,3435,2.8,3.1,65,65,140,2128,-1988,-326,2.8,45.5,4.5,23.4/6.3
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,39.9,154,157,3030,2510,520,-676,2.9,39.9,5.1,47.7/4.0
Malta,SouthernEurope,315,431,1346.4,100.9,9747,6.2,1.4,96,96,4039,7182,-3143,539,0.5,95.4,0.5,14.4/26.1
Marshall Islands,Micronesia,181,53,295.2,104.5,183,0.6,16.4,115,115,27,86,-58,-5,0.2,72.7,0.6,39.0/5.5
Martinique,Caribbean,1128,385,363.1,83.5,-99,-99,-99,78,78,-99,-99,-99,-99,-0.5,88.9,0.2,17.7/25.7
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,20.9,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,39.9/5.0
Mauritius,EasternAfrica,1969,1265,623.2,97.9,11511,3.5,2.9,96,96,2194,4655,-2461,-566,0.2,39.7,-0.1,18.4/16.6
Mayotte,EasternAfrica,-99,253,674.8,96.7,-99,-99,-99,-99,-99,...,...,...,-99,2.8,47,1.9,40.6/5.8
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,3.6,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,26.7/10.1
Micronesia (Federated States of),Micronesia,702,106,150.8,105.1,315,3.7,27.8,99,99,6,40,-34,22,0.2,22.4,0.3,33.1/8.0
Monaco,WesternEurope,2,39,25969.8,94.7,6258,5.4,-99,-99,-99,-99,-99,-99,-99,0.6,100,0.8,.../...
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,14.8,147,149,4917,3358,1559,-948,1.9,72,2.8,29.7/6.6
Montenegro,SouthernEurope,13812,629,46.8,97.4,4020,4.5,9.8,66,66,354,2263,-1908,-533,0.1,64,0.3,18.1/21.3
